2026-07-15 11:21:23,282 - ============================================================
2026-07-15 11:21:23,284 - Barkley Tracker 啟動
2026-07-15 11:21:23,284 - Log 檔案：logs\barkley_20260715_112123.log
2026-07-15 11:21:23,284 - ============================================================
2026-07-15 11:21:32,550 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:21:32,648 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:32,659 - 書籍分類 - 設定裝置: GPU
2026-07-15 11:21:35,999 - 書籍分類模型：✓ GPU.0 編譯成功，使用 Intel GPU (Iris Xe)
2026-07-15 11:21:36,422 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:36,424 - YOLO - 設定裝置: GPU
2026-07-15 11:21:44,070 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:23:28,972 - Pose: 2 persons | Book: no_book: 0.9965, book_1: 0.0007, book_2: 0.0007, book_3: 0.0021 | Sitting: P0:sitting, P1:sitting
2026-07-15 11:23:31,028 - Pose: 2 persons | Book: no_book: 0.9953, book_1: 0.0011, book_2: 0.0009, book_3: 0.0027 | Sitting: P0:sitting, P1:sitting
2026-07-15 11:23:33,157 - Pose: 0 persons | Book: no_book: 0.9995, book_1: 0.0001, book_2: 0.0001, book_3: 0.0002 | Sitting: N/A
2026-07-15 11:23:35,315 - Pose: 0 persons | Book: no_book: 0.9924, book_1: 0.0021, book_2: 0.0015, book_3: 0.0040 | Sitting: N/A
2026-07-15 11:23:37,410 - Pose: 1 persons | Book: no_book: 0.9924, book_1: 0.0022, book_2: 0.0014, book_3: 0.0040 | Sitting: P0:sitting
2026-07-15 11:23:39,479 - Pose: 0 persons | Book: no_book: 0.9928, book_1: 0.0021, book_2: 0.0017, book_3: 0.0035 | Sitting: N/A
2026-07-15 11:23:41,623 - Pose: 0 persons | Book: no_book: 0.9936, book_1: 0.0018, book_2: 0.0013, book_3: 0.0033 | Sitting: N/A
2026-07-15 11:23:43,665 - Pose: 0 persons | Book: no_book: 0.9938, book_1: 0.0019, book_2: 0.0013, book_3: 0.0030 | Sitting: N/A
2026-07-15 11:23:45,759 - Pose: 0 persons | Book: no_book: 0.9949, book_1: 0.0014, book_2: 0.0008, book_3: 0.0029 | Sitting: N/A
2026-07-15 11:23:47,815 - Pose: 0 persons | Book: no_book: 0.9908, book_1: 0.0023, book_2: 0.0020, book_3: 0.0049 | Sitting: N/A
2026-07-15 11:23:49,901 - Pose: 0 persons | Book: no_book: 0.9893, book_1: 0.0029, book_2: 0.0023, book_3: 0.0055 | Sitting: N/A
2026-07-15 11:23:51,920 - Pose: 0 persons | Book: no_book: 0.9973, book_1: 0.0008, book_2: 0.0004, book_3: 0.0015 | Sitting: N/A
2026-07-15 11:23:54,033 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0017, book_2: 0.0012, book_3: 0.0033 | Sitting: N/A
2026-07-15 11:23:56,065 - Pose: 0 persons | Book: no_book: 0.9927, book_1: 0.0021, book_2: 0.0015, book_3: 0.0037 | Sitting: N/A
2026-07-15 11:23:58,089 - Pose: 0 persons | Book: no_book: 0.9944, book_1: 0.0014, book_2: 0.0010, book_3: 0.0031 | Sitting: N/A
2026-07-15 11:24:00,105 - Pose: 0 persons | Book: no_book: 0.9855, book_1: 0.0039, book_2: 0.0034, book_3: 0.0073 | Sitting: N/A
2026-07-15 11:24:02,145 - Pose: 0 persons | Book: no_book: 0.9951, book_1: 0.0014, book_2: 0.0009, book_3: 0.0027 | Sitting: N/A
2026-07-15 11:24:04,226 - Pose: 0 persons | Book: no_book: 0.9940, book_1: 0.0016, book_2: 0.0013, book_3: 0.0032 | Sitting: N/A
2026-07-15 11:24:06,274 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0020, book_2: 0.0014, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:24:08,334 - Pose: 0 persons | Book: no_book: 0.9916, book_1: 0.0023, book_2: 0.0017, book_3: 0.0044 | Sitting: N/A
2026-07-15 11:24:10,359 - Pose: 0 persons | Book: no_book: 0.9941, book_1: 0.0016, book_2: 0.0010, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:24:12,377 - Pose: 0 persons | Book: no_book: 0.9933, book_1: 0.0020, book_2: 0.0014, book_3: 0.0033 | Sitting: N/A
