2026-07-15 11:45:12,355 - ============================================================
2026-07-15 11:45:12,355 - Barkley Tracker 啟動
2026-07-15 11:45:12,356 - Log 檔案：logs\barkley_20260715_114512.log
2026-07-15 11:45:12,356 - ============================================================
2026-07-15 11:45:20,312 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:45:20,404 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:45:20,410 - 書籍分類 - 設定裝置: CPU
2026-07-15 11:45:20,472 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 11:45:20,873 - 幀採樣間隔: 1.0 秒
2026-07-15 11:45:20,888 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:45:20,888 - YOLO - 設定裝置: GPU
2026-07-15 11:45:25,339 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:47:16,350 - Pose: 2 persons | Book: no_book: 0.9959, book_1: 0.0010, book_2: 0.0007, book_3: 0.0023 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:17,372 - Pose: 2 persons | Book: no_book: 0.9917, book_1: 0.0022, book_2: 0.0016, book_3: 0.0045 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:18,380 - Pose: 2 persons | Book: no_book: 0.9948, book_1: 0.0013, book_2: 0.0011, book_3: 0.0028 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:19,413 - Pose: 2 persons | Book: no_book: 0.9946, book_1: 0.0015, book_2: 0.0010, book_3: 0.0029 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:20,415 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0015, book_2: 0.0012, book_3: 0.0033 | Sitting: P0:not_sitting
2026-07-15 11:47:21,443 - Pose: 2 persons | Book: no_book: 0.9924, book_1: 0.0021, book_2: 0.0015, book_3: 0.0039 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:22,455 - Pose: 2 persons | Book: no_book: 0.9940, book_1: 0.0017, book_2: 0.0011, book_3: 0.0033 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:23,484 - Pose: 2 persons | Book: no_book: 0.9949, book_1: 0.0014, book_2: 0.0011, book_3: 0.0027 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:24,508 - Pose: 1 persons | Book: no_book: 0.9880, book_1: 0.0036, book_2: 0.0025, book_3: 0.0059 | Sitting: P0:not_sitting
2026-07-15 11:47:25,515 - Pose: 2 persons | Book: no_book: 0.9956, book_1: 0.0011, book_2: 0.0007, book_3: 0.0026 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:26,527 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0014, book_2: 0.0010, book_3: 0.0033 | Sitting: P0:not_sitting
2026-07-15 11:47:27,531 - Pose: 2 persons | Book: no_book: 0.9968, book_1: 0.0009, book_2: 0.0005, book_3: 0.0018 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:28,557 - Pose: 2 persons | Book: no_book: 0.9955, book_1: 0.0012, book_2: 0.0007, book_3: 0.0026 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:29,563 - Pose: 2 persons | Book: no_book: 0.9938, book_1: 0.0016, book_2: 0.0011, book_3: 0.0034 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:30,589 - Pose: 2 persons | Book: no_book: 0.9933, book_1: 0.0018, book_2: 0.0014, book_3: 0.0034 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:31,597 - Pose: 2 persons | Book: no_book: 0.9942, book_1: 0.0017, book_2: 0.0011, book_3: 0.0031 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:32,622 - Pose: 2 persons | Book: no_book: 0.9968, book_1: 0.0009, book_2: 0.0006, book_3: 0.0017 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:33,652 - Pose: 2 persons | Book: no_book: 0.9929, book_1: 0.0018, book_2: 0.0012, book_3: 0.0041 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:34,709 - Pose: 2 persons | Book: no_book: 0.9914, book_1: 0.0022, book_2: 0.0017, book_3: 0.0047 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:35,708 - Pose: 1 persons | Book: no_book: 0.9949, book_1: 0.0015, book_2: 0.0009, book_3: 0.0027 | Sitting: P0:not_sitting
2026-07-15 11:47:36,713 - Pose: 2 persons | Book: no_book: 0.9924, book_1: 0.0022, book_2: 0.0015, book_3: 0.0038 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:37,738 - Pose: 2 persons | Book: no_book: 0.9952, book_1: 0.0015, book_2: 0.0010, book_3: 0.0024 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:38,742 - Pose: 2 persons | Book: no_book: 0.9960, book_1: 0.0010, book_2: 0.0008, book_3: 0.0022 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:47:39,771 - Pose: 1 persons | Book: no_book: 0.9923, book_1: 0.0020, book_2: 0.0015, book_3: 0.0041 | Sitting: P0:not_sitting
2026-07-15 11:47:40,781 - Pose: 1 persons | Book: no_book: 0.9901, book_1: 0.0027, book_2: 0.0021, book_3: 0.0052 | Sitting: P0:not_sitting
2026-07-15 11:47:41,808 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0016, book_2: 0.0012, book_3: 0.0035 | Sitting: P0:not_sitting
2026-07-15 11:47:42,818 - Pose: 1 persons | Book: no_book: 0.9914, book_1: 0.0026, book_2: 0.0020, book_3: 0.0041 | Sitting: P0:not_sitting
