2026-07-15 10:53:26,032 - ============================================================
2026-07-15 10:53:26,032 - Barkley Tracker 啟動
2026-07-15 10:53:26,032 - Log 檔案：logs\barkley_20260715_105326.log
2026-07-15 10:53:26,032 - ============================================================
2026-07-15 10:53:35,416 - YOLO pose 模型：成功載入 OpenVINO 格式
2026-07-15 10:53:38,547 - 書籍分類模型：成功使用 Intel GPU (Xe)
2026-07-15 10:53:38,965 - YOLO pose GPU 推論失敗，改用 CPU
2026-07-15 10:53:41,075 - YOLO pose：已切換至 CPU 推論
2026-07-15 10:57:18,710 - Pose: 0 persons | Book: no_book: 0.9920, book_1: 0.0022, book_2: 0.0017, book_3: 0.0041 | Sitting: N/A
2026-07-15 10:57:21,910 - Pose: 0 persons | Book: no_book: 0.9880, book_1: 0.0034, book_2: 0.0027, book_3: 0.0059 | Sitting: N/A
2026-07-15 10:57:25,099 - Pose: 0 persons | Book: no_book: 0.9918, book_1: 0.0022, book_2: 0.0017, book_3: 0.0043 | Sitting: N/A
2026-07-15 10:57:28,120 - Pose: 0 persons | Book: no_book: 0.9912, book_1: 0.0023, book_2: 0.0020, book_3: 0.0045 | Sitting: N/A
2026-07-15 10:57:31,132 - Pose: 0 persons | Book: no_book: 0.9914, book_1: 0.0025, book_2: 0.0019, book_3: 0.0042 | Sitting: N/A
2026-07-15 10:57:34,156 - Pose: 0 persons | Book: no_book: 0.9928, book_1: 0.0019, book_2: 0.0015, book_3: 0.0038 | Sitting: N/A
2026-07-15 10:57:37,286 - Pose: 0 persons | Book: no_book: 0.9878, book_1: 0.0033, book_2: 0.0028, book_3: 0.0061 | Sitting: N/A
2026-07-15 10:57:40,374 - Pose: 1 persons | Book: no_book: 0.9859, book_1: 0.0036, book_2: 0.0028, book_3: 0.0077 | Sitting: P0:sitting
2026-07-15 10:57:43,580 - Pose: 1 persons | Book: no_book: 0.9917, book_1: 0.0024, book_2: 0.0017, book_3: 0.0042 | Sitting: P0:not_sitting
2026-07-15 10:57:46,800 - Pose: 0 persons | Book: no_book: 0.9905, book_1: 0.0025, book_2: 0.0024, book_3: 0.0046 | Sitting: N/A
2026-07-15 10:57:49,977 - Pose: 0 persons | Book: no_book: 0.9890, book_1: 0.0029, book_2: 0.0026, book_3: 0.0056 | Sitting: N/A
2026-07-15 10:57:53,220 - Pose: 0 persons | Book: no_book: 0.9939, book_1: 0.0013, book_2: 0.0011, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:57:56,494 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0016, book_2: 0.0013, book_3: 0.0038 | Sitting: N/A
2026-07-15 10:57:59,529 - Pose: 0 persons | Book: no_book: 0.9931, book_1: 0.0019, book_2: 0.0013, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:58:02,592 - Pose: 1 persons | Book: no_book: 0.9912, book_1: 0.0026, book_2: 0.0018, book_3: 0.0044 | Sitting: P0:not_sitting
2026-07-15 10:58:05,767 - Pose: 1 persons | Book: no_book: 0.9899, book_1: 0.0029, book_2: 0.0021, book_3: 0.0052 | Sitting: P0:not_sitting
2026-07-15 10:58:08,963 - Pose: 2 persons | Book: no_book: 0.9929, book_1: 0.0019, book_2: 0.0015, book_3: 0.0037 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 10:58:11,965 - Pose: 0 persons | Book: no_book: 0.9902, book_1: 0.0027, book_2: 0.0023, book_3: 0.0048 | Sitting: N/A
2026-07-15 10:58:15,086 - Pose: 0 persons | Book: no_book: 0.9880, book_1: 0.0034, book_2: 0.0025, book_3: 0.0060 | Sitting: N/A
2026-07-15 10:58:18,343 - Pose: 0 persons | Book: no_book: 0.9957, book_1: 0.0011, book_2: 0.0008, book_3: 0.0023 | Sitting: N/A
2026-07-15 10:58:21,584 - Pose: 0 persons | Book: no_book: 0.9924, book_1: 0.0022, book_2: 0.0014, book_3: 0.0040 | Sitting: N/A
2026-07-15 10:58:24,727 - Pose: 0 persons | Book: no_book: 0.9922, book_1: 0.0019, book_2: 0.0015, book_3: 0.0044 | Sitting: N/A
2026-07-15 10:58:27,861 - Pose: 0 persons | Book: no_book: 0.9930, book_1: 0.0018, book_2: 0.0015, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:58:31,006 - Pose: 0 persons | Book: no_book: 0.9923, book_1: 0.0023, book_2: 0.0017, book_3: 0.0038 | Sitting: N/A
2026-07-15 10:58:34,017 - Pose: 0 persons | Book: no_book: 0.9946, book_1: 0.0015, book_2: 0.0010, book_3: 0.0029 | Sitting: N/A
2026-07-15 10:58:37,049 - Pose: 0 persons | Book: no_book: 0.9898, book_1: 0.0029, book_2: 0.0021, book_3: 0.0052 | Sitting: N/A
2026-07-15 10:58:40,103 - Pose: 0 persons | Book: no_book: 0.9909, book_1: 0.0024, book_2: 0.0017, book_3: 0.0050 | Sitting: N/A
2026-07-15 10:58:43,245 - Pose: 0 persons | Book: no_book: 0.9854, book_1: 0.0041, book_2: 0.0034, book_3: 0.0071 | Sitting: N/A
2026-07-15 10:58:46,487 - Pose: 0 persons | Book: no_book: 0.9913, book_1: 0.0021, book_2: 0.0018, book_3: 0.0048 | Sitting: N/A
2026-07-15 10:58:49,740 - Pose: 0 persons | Book: no_book: 0.9928, book_1: 0.0019, book_2: 0.0013, book_3: 0.0040 | Sitting: N/A
2026-07-15 10:58:52,876 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0016, book_2: 0.0011, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:58:56,029 - Pose: 0 persons | Book: no_book: 0.9919, book_1: 0.0020, book_2: 0.0017, book_3: 0.0044 | Sitting: N/A
2026-07-15 10:58:59,144 - Pose: 0 persons | Book: no_book: 0.9923, book_1: 0.0020, book_2: 0.0015, book_3: 0.0042 | Sitting: N/A
2026-07-15 10:59:02,397 - Pose: 0 persons | Book: no_book: 0.9964, book_1: 0.0009, book_2: 0.0008, book_3: 0.0019 | Sitting: N/A
2026-07-15 10:59:05,559 - Pose: 0 persons | Book: no_book: 0.9934, book_1: 0.0016, book_2: 0.0013, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:59:08,714 - Pose: 0 persons | Book: no_book: 0.9953, book_1: 0.0012, book_2: 0.0009, book_3: 0.0026 | Sitting: N/A
2026-07-15 10:59:11,856 - Pose: 0 persons | Book: no_book: 0.9930, book_1: 0.0019, book_2: 0.0014, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:59:15,104 - Pose: 0 persons | Book: no_book: 0.9932, book_1: 0.0017, book_2: 0.0014, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:59:18,264 - Pose: 0 persons | Book: no_book: 0.9869, book_1: 0.0033, book_2: 0.0027, book_3: 0.0071 | Sitting: N/A
2026-07-15 10:59:21,419 - Pose: 0 persons | Book: no_book: 0.9946, book_1: 0.0014, book_2: 0.0011, book_3: 0.0029 | Sitting: N/A
2026-07-15 10:59:24,636 - Pose: 0 persons | Book: no_book: 0.9943, book_1: 0.0015, book_2: 0.0010, book_3: 0.0033 | Sitting: N/A
2026-07-15 10:59:27,792 - Pose: 0 persons | Book: no_book: 0.9956, book_1: 0.0011, book_2: 0.0008, book_3: 0.0025 | Sitting: N/A
2026-07-15 10:59:30,818 - Pose: 0 persons | Book: no_book: 0.9920, book_1: 0.0022, book_2: 0.0016, book_3: 0.0043 | Sitting: N/A
2026-07-15 10:59:33,924 - Pose: 0 persons | Book: no_book: 0.9964, book_1: 0.0009, book_2: 0.0007, book_3: 0.0020 | Sitting: N/A
2026-07-15 10:59:37,031 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0020, book_2: 0.0015, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:59:40,128 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0017, book_2: 0.0013, book_3: 0.0041 | Sitting: N/A
2026-07-15 10:59:43,389 - Pose: 0 persons | Book: no_book: 0.9898, book_1: 0.0028, book_2: 0.0022, book_3: 0.0051 | Sitting: N/A
2026-07-15 10:59:46,612 - Pose: 0 persons | Book: no_book: 0.9911, book_1: 0.0024, book_2: 0.0017, book_3: 0.0047 | Sitting: N/A
2026-07-15 10:59:49,932 - Pose: 0 persons | Book: no_book: 0.9922, book_1: 0.0023, book_2: 0.0014, book_3: 0.0040 | Sitting: N/A
2026-07-15 10:59:53,463 - Pose: 0 persons | Book: no_book: 0.9959, book_1: 0.0011, book_2: 0.0008, book_3: 0.0022 | Sitting: N/A
2026-07-15 10:59:56,688 - Pose: 0 persons | Book: no_book: 0.9894, book_1: 0.0031, book_2: 0.0024, book_3: 0.0051 | Sitting: N/A
2026-07-15 10:59:59,822 - Pose: 0 persons | Book: no_book: 0.9906, book_1: 0.0024, book_2: 0.0020, book_3: 0.0051 | Sitting: N/A
2026-07-15 11:00:02,954 - Pose: 0 persons | Book: no_book: 0.9882, book_1: 0.0035, book_2: 0.0028, book_3: 0.0055 | Sitting: N/A
2026-07-15 11:00:06,193 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0019, book_2: 0.0014, book_3: 0.0038 | Sitting: N/A
2026-07-15 11:00:09,392 - Pose: 0 persons | Book: no_book: 0.9904, book_1: 0.0026, book_2: 0.0021, book_3: 0.0049 | Sitting: N/A
2026-07-15 11:00:12,468 - Pose: 0 persons | Book: no_book: 0.9915, book_1: 0.0022, book_2: 0.0019, book_3: 0.0043 | Sitting: N/A
2026-07-15 11:00:15,739 - Pose: 0 persons | Book: no_book: 0.9934, book_1: 0.0022, book_2: 0.0013, book_3: 0.0031 | Sitting: N/A
2026-07-15 11:00:18,872 - Pose: 0 persons | Book: no_book: 0.9923, book_1: 0.0022, book_2: 0.0016, book_3: 0.0039 | Sitting: N/A
2026-07-15 11:00:21,999 - Pose: 0 persons | Book: no_book: 0.9889, book_1: 0.0027, book_2: 0.0022, book_3: 0.0062 | Sitting: N/A
2026-07-15 11:00:25,088 - Pose: 0 persons | Book: no_book: 0.9948, book_1: 0.0012, book_2: 0.0011, book_3: 0.0030 | Sitting: N/A
2026-07-15 11:00:28,164 - Pose: 0 persons | Book: no_book: 0.9954, book_1: 0.0013, book_2: 0.0009, book_3: 0.0023 | Sitting: N/A
2026-07-15 11:00:31,186 - Pose: 0 persons | Book: no_book: 0.9873, book_1: 0.0033, book_2: 0.0028, book_3: 0.0066 | Sitting: N/A
2026-07-15 11:00:34,347 - Pose: 0 persons | Book: no_book: 0.9919, book_1: 0.0023, book_2: 0.0017, book_3: 0.0041 | Sitting: N/A
2026-07-15 11:00:37,507 - Pose: 0 persons | Book: no_book: 0.9918, book_1: 0.0022, book_2: 0.0016, book_3: 0.0045 | Sitting: N/A
2026-07-15 11:00:40,544 - Pose: 0 persons | Book: no_book: 0.9901, book_1: 0.0027, book_2: 0.0020, book_3: 0.0052 | Sitting: N/A
2026-07-15 11:00:43,551 - Pose: 0 persons | Book: no_book: 0.9921, book_1: 0.0020, book_2: 0.0016, book_3: 0.0043 | Sitting: N/A
2026-07-15 11:00:46,642 - Pose: 0 persons | Book: no_book: 0.9956, book_1: 0.0011, book_2: 0.0008, book_3: 0.0025 | Sitting: N/A
2026-07-15 11:00:49,782 - Pose: 0 persons | Book: no_book: 0.9939, book_1: 0.0014, book_2: 0.0010, book_3: 0.0036 | Sitting: N/A
2026-07-15 11:00:53,090 - Pose: 0 persons | Book: no_book: 0.9944, book_1: 0.0016, book_2: 0.0011, book_3: 0.0029 | Sitting: N/A
2026-07-15 11:00:56,377 - Pose: 0 persons | Book: no_book: 0.9885, book_1: 0.0029, book_2: 0.0024, book_3: 0.0063 | Sitting: N/A
2026-07-15 11:00:59,612 - Pose: 0 persons | Book: no_book: 0.9935, book_1: 0.0017, book_2: 0.0012, book_3: 0.0036 | Sitting: N/A
2026-07-15 11:01:02,737 - Pose: 0 persons | Book: no_book: 0.9880, book_1: 0.0036, book_2: 0.0026, book_3: 0.0059 | Sitting: N/A
2026-07-15 11:01:05,831 - Pose: 0 persons | Book: no_book: 0.9841, book_1: 0.0038, book_2: 0.0041, book_3: 0.0080 | Sitting: N/A
2026-07-15 11:01:08,912 - Pose: 0 persons | Book: no_book: 0.9890, book_1: 0.0029, book_2: 0.0023, book_3: 0.0058 | Sitting: N/A
2026-07-15 11:01:12,089 - Pose: 0 persons | Book: no_book: 0.9880, book_1: 0.0034, book_2: 0.0025, book_3: 0.0061 | Sitting: N/A
2026-07-15 11:01:15,109 - Pose: 0 persons | Book: no_book: 0.9888, book_1: 0.0032, book_2: 0.0023, book_3: 0.0056 | Sitting: N/A
2026-07-15 11:01:18,132 - Pose: 0 persons | Book: no_book: 0.9861, book_1: 0.0039, book_2: 0.0032, book_3: 0.0068 | Sitting: N/A
2026-07-15 11:01:21,258 - Pose: 0 persons | Book: no_book: 0.9851, book_1: 0.0043, book_2: 0.0034, book_3: 0.0073 | Sitting: N/A
2026-07-15 11:01:24,281 - Pose: 0 persons | Book: no_book: 0.9933, book_1: 0.0017, book_2: 0.0012, book_3: 0.0038 | Sitting: N/A
2026-07-15 11:01:27,473 - Pose: 0 persons | Book: no_book: 0.9863, book_1: 0.0038, book_2: 0.0028, book_3: 0.0071 | Sitting: N/A
2026-07-15 11:01:30,652 - Pose: 0 persons | Book: no_book: 0.9920, book_1: 0.0021, book_2: 0.0015, book_3: 0.0044 | Sitting: N/A
2026-07-15 11:01:33,808 - Pose: 0 persons | Book: no_book: 0.9853, book_1: 0.0039, book_2: 0.0030, book_3: 0.0078 | Sitting: N/A
2026-07-15 11:01:36,896 - Pose: 0 persons | Book: no_book: 0.9896, book_1: 0.0028, book_2: 0.0019, book_3: 0.0058 | Sitting: N/A
2026-07-15 11:01:40,074 - Pose: 0 persons | Book: no_book: 0.9926, book_1: 0.0020, book_2: 0.0015, book_3: 0.0040 | Sitting: N/A
2026-07-15 11:01:43,176 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0021, book_2: 0.0015, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:01:46,353 - Pose: 0 persons | Book: no_book: 0.9929, book_1: 0.0022, book_2: 0.0016, book_3: 0.0034 | Sitting: N/A
2026-07-15 11:01:49,596 - Pose: 0 persons | Book: no_book: 0.9882, book_1: 0.0032, book_2: 0.0022, book_3: 0.0064 | Sitting: N/A
2026-07-15 11:01:52,681 - Pose: 0 persons | Book: no_book: 0.9870, book_1: 0.0032, book_2: 0.0027, book_3: 0.0071 | Sitting: N/A
2026-07-15 11:01:55,783 - Pose: 0 persons | Book: no_book: 0.9888, book_1: 0.0030, book_2: 0.0025, book_3: 0.0057 | Sitting: N/A
2026-07-15 11:01:58,931 - Pose: 0 persons | Book: no_book: 0.9946, book_1: 0.0014, book_2: 0.0012, book_3: 0.0028 | Sitting: N/A
2026-07-15 11:02:02,129 - Pose: 0 persons | Book: no_book: 0.9943, book_1: 0.0016, book_2: 0.0011, book_3: 0.0031 | Sitting: N/A
